"gene_id","entrezgene","ensembl_gene_id","chromosome_name","start_position","end_position"
"1110059E24RIK","66206","ENSMUSG00000035171","19","21581202","21652976"
"1110059G10RIK","66202","ENSMUSG00000032551","9","122945089","122951000"
"1110065P20RIK","68920","ENSMUSG00000078570","4","124849080","124851196"
"1190002F15RIK","","ENSMUSG00000098318","6","134929092","134956798"
"1190002N15RIK","68861","ENSMUSG00000045414","9","94517864","94538081"
"1190003K10RIK","68880","ENSMUSG00000096537","13","64481246","64497792"
"1190005I06RIK","68918","ENSMUSG00000043687","8","120608602","120647632"
"1190007I07RIK","544717","ENSMUSG00000063320","10","82619851","82623228"
"1200014J11RIK","66874","ENSMUSG00000020783","11","73047783","73089317"
"1300002E11RIK","","ENSMUSG00000097290","16","21794347","21809037"
"1300017J02RIK","71775","ENSMUSG00000033688","9","103250521","103305082"
"1500004A13RIK","","ENSMUSG00000098912","3","88782943","88832547"
"1500009C09RIK","","ENSMUSG00000068099","15","82252397","82260753"
"1500009L16RIK","69784","ENSMUSG00000087651","10","83722865","83762761"
"1500011B03RIK","","ENSMUSG00000072694","5","114808196","114813976"
"1500011K16RIK","","ENSMUSG00000051319","2","127791388","127792488"
"1500012F01RIK","68949","ENSMUSG00000074578","2","167062934","167065862"
"1500012K07RIK","","ENSMUSG00000097247","7","75308696","75331419"
"1500015A07RIK","","ENSMUSG00000098702","18","61726390","61735917"
"1500015L24RIK","","ENSMUSG00000094732","19","20405288","20422787"
"1500015O10RIK","78896","ENSMUSG00000026051","1","43730602","43742578"
"1500017E21RIK","","ENSMUSG00000087579","19","36614052","36705641"
"1500026H17RIK","","ENSMUSG00000097383","10","89686371","89700866"
"1600002D24RIK","","ENSMUSG00000086899","16","95831123","95929077"
"1600002H07RIK","72016","ENSMUSG00000024118","17","24215054","24220851"
"1600002K03RIK","69770","ENSMUSG00000035595","10","80172944","80175146"
"1600010M07RIK","","ENSMUSG00000101585","7","109998376","110151202"
"1600012H06RIK","67912","ENSMUSG00000050088","17","14943184","14959570"
"1600014C10RIK","72244","ENSMUSG00000054676","7","38183217","38197568"
"1600014C23RIK","72240","ENSMUSG00000094690","17","45732864","45733844"
"1600015I10RIK","69761","ENSMUSG00000029813","6","48929895","48933687"
"1600019K03RIK","","ENSMUSG00000099429","16","35503170","35509419"
"1600020E01RIK","","ENSMUSG00000097048","6","86526247","86582466"
"1600023N17RIK","","ENSMUSG00000104986","5","45668702","45669708"
"1600025M17RIK","","ENSMUSG00000085114","X","56317608","56320664"
"1600029O15RIK","","ENSMUSG00000057818","9","58202897","58208808"
"1700001C02RIK","75434","ENSMUSG00000029182","5","30466047","30484088"
"1700001C19RIK","75462","ENSMUSG00000047150","17","47412734","47437376"
"1700001D01RIK","","ENSMUSG00000099419","8","61281522","61288872"
"1700001F09RIK","71826","ENSMUSG00000095384","14","43342383","43347811"
"1700001G01RIK","","ENSMUSG00000087170","18","17019051","17137559"
"1700001G11RIK","","ENSMUSG00000085984","14","66295334","66297129"
"1700001G17RIK","","ENSMUSG00000103746","1","33669824","33670712"
"1700001J03RIK","69282","ENSMUSG00000095040","5","146182441","146185304"
"1700001J11RIK","","ENSMUSG00000101963","9","40050365","40053028"
"1700001K19RIK","66323","ENSMUSG00000056508","12","110667689","110682619"
"1700001L05RIK","","ENSMUSG00000075511","15","83357526","83367282"
"1700001L19RIK","69315","ENSMUSG00000021534","13","68597439","68614231"
"1700001O22RIK","73598","ENSMUSG00000044320","2","30794769","30803661"
"1700001P01RIK","72215","ENSMUSG00000018543","11","97771481","97775918"
"1700003C15RIK","","ENSMUSG00000099391","5","11689253","11769308"
"1700003D09RIK","","ENSMUSG00000085944","11","98350718","98358283"
"1700003E16RIK","71837","ENSMUSG00000030030","6","83156404","83162945"
"1700003E24RIK","","ENSMUSG00000095110","X","93156154","93156873"
"1700003F12RIK","75480","ENSMUSG00000038523","2","154547085","154550003"
"1700003G13RIK","","ENSMUSG00000085831","9","45318265","45322079"
"1700003G18RIK","","ENSMUSG00000087621","7","116081759","116093159"
"1700003H04RIK","","ENSMUSG00000039174","3","124556352","124581101"
"1700003I22RIK","","ENSMUSG00000100372","1","56018978","56020203"
"1700003L19RIK","","ENSMUSG00000101565","16","12811390","12848653"
"1700003M02RIK","69329","ENSMUSG00000028294","4","34688559","34730206"
"1700003M07RIK","","ENSMUSG00000085389","4","129960374","129963657"
"1700003P14RIK","","ENSMUSG00000100727","13","118555360","118588704"
"1700006A11RIK","71824","ENSMUSG00000027973","3","124400989","124426040"
"1700006E09RIK","75437","ENSMUSG00000010841","11","101984279","101992264"
"1700006F04RIK","","ENSMUSG00000100274","14","119749225","119751564"
"1700006H21RIK","","ENSMUSG00000102000","13","107687397","107692173"
"1700007B14RIK","71831","ENSMUSG00000031620","8","75448694","75984503"
"1700007F19RIK","","ENSMUSG00000100666","3","58141707","58163807"
"1700007G11RIK","75784","ENSMUSG00000057816","5","98329304","98802047"
"1700007J10RIK","","ENSMUSG00000086330","11","59725917","59740154"
"1700007K09RIK","69318","ENSMUSG00000030858","7","131325944","131329516"
"1700007K13RIK","69327","ENSMUSG00000026831","2","28462001","28466332"
"1700007L15RIK","","ENSMUSG00000097318","16","33379855","33380727"
"1700007P06RIK","","ENSMUSG00000089730","1","187125138","187127852"
"1700008J07RIK","","ENSMUSG00000101225","7","127510438","127512869"
"1700008K24RIK","","ENSMUSG00000101012","17","49112263","49113535"
"1700008O03RIK","69349","ENSMUSG00000008028","7","44360043","44385820"
"1700008P02RIK","69347","ENSMUSG00000069118","3","6615418","6620443"
"1700009C05RIK","","ENSMUSG00000101404","6","81900464","81910800"
"1700009J07RIK","","ENSMUSG00000096573","10","77893417","77896114"
"1700009N14RIK","75471","ENSMUSG00000028287","4","39450295","39451776"
"1700010B08RIK","75485","ENSMUSG00000057047","2","173719415","173722089"
"1700010D01RIK","","ENSMUSG00000071721","X","95732586","95733265"
"1700010I02RIK","","ENSMUSG00000100010","3","7925303","7954889"
"1700010I14RIK","66931","ENSMUSG00000023873","17","8988333","9008319"
"1700010J16RIK","","ENSMUSG00000100314","10","112726888","112785602"
"1700010K23RIK","","ENSMUSG00000092599","16","66657118","66664626"
"1700011A15RIK","66322","ENSMUSG00000063971","15","101447745","101453909"
"1700011B04RIK","","ENSMUSG00000102099","13","35180267","35188017"
"1700011E24RIK","75467","ENSMUSG00000036557","17","87389571","87427741"
"1700011H14RIK","67082","ENSMUSG00000021850","14","49226358","49245428"
"1700011I03RIK","75444","ENSMUSG00000058925","18","57533780","57731065"
"1700011L22RIK","67687","ENSMUSG00000031682","8","79210430","79248583"
"1700011M02RIK","","ENSMUSG00000079476","X","102908905","102909651"
"1700012A03RIK","76382","ENSMUSG00000029766","6","32050246","32058921"
"1700012B07RIK","69324","ENSMUSG00000020617","11","109787651","109828046"
"1700012B09RIK","69325","ENSMUSG00000031927","9","14756587","14771030"
"1700012C14RIK","","ENSMUSG00000085470","6","30460128","30463313"
"1700012D16RIK","","ENSMUSG00000105023","3","153296504","153298649"
"1700012I11RIK","","ENSMUSG00000102069","15","67226769","67377094"
"1700012L04RIK","76383","ENSMUSG00000100200","X","9283764","9284298"
"1700012P22RIK","69364","ENSMUSG00000028589","4","144418189","144438772"
"1700013D24RIK","76921","ENSMUSG00000079346","6","124347593","124357086"
"1700013F07RIK","75504","ENSMUSG00000027886","3","108534150","108544723"
"1700013G24RIK","69380","ENSMUSG00000041399","4","137453284","137455461"
"1700013H16RIK","75514","ENSMUSG00000054727","X","53742901","53757831"
"1700015E13RIK","76925","ENSMUSG00000042800","1","170308803","170312125"
"1700015F17RIK","381716","ENSMUSG00000079666","5","5437827","5479143"
"1700015G11RIK","100503036","ENSMUSG00000094445","7","52011683","52015728"
"1700016C15RIK","69428","ENSMUSG00000015962","1","177729814","177753324"
"1700016D06RIK","76413","ENSMUSG00000031509","8","11654924","11701063"
"1700016G22RIK","","ENSMUSG00000100625","13","5855508","5858092"
"1700016H13RIK","74218","ENSMUSG00000029320","5","103648039","103656010"
"1700016K19RIK","74230","ENSMUSG00000053783","11","75999912","76003569"
"1700016L21RIK","","ENSMUSG00000101483","1","80445932","80479867"
"1700016P04RIK","","ENSMUSG00000101894","6","13413337","13415996"
"1700017B05RIK","74211","ENSMUSG00000032300","9","57252322","57262599"
"1700017D01RIK","69369","ENSMUSG00000024729","19","11096816","11130876"
"1700017G19RIK","","ENSMUSG00000037884","3","40504867","40522912"
"1700017J07RIK","","ENSMUSG00000086348","2","168978268","168978906"
"1700017L05RIK","","ENSMUSG00000107232","5","77465488","77468851"
"1700017N19RIK","66605","ENSMUSG00000056912","10","100590511","100618401"
"1700018A04RIK","","ENSMUSG00000038408","13","31565492","31582513"
"1700018B08RIK","76405","ENSMUSG00000031809","8","121530780","121544320"
"1700018B24RIK","","ENSMUSG00000037910","3","48605732","48609102"
"1700018C11RIK","75524","ENSMUSG00000058935","4","63607089","63622428"
"1700018F24RIK","69396","ENSMUSG00000029620","5","145042990","145045681"
"1700018L02RIK","","ENSMUSG00000100075","19","29046245","29048729"
"1700019A02RIK","69397","ENSMUSG00000060715","1","53158577","53187636"
"1700019B03RIK","76406","ENSMUSG00000040340","8","3470862","3487181"
"1700019B21RIK","","ENSMUSG00000085757","X","62510539","62527011"
"1700019D03RIK","67080","ENSMUSG00000043629","1","52922324","53020179"
"1700019E08RIK","","ENSMUSG00000086202","2","45696605","45698447"
"1700019G17RIK","75541","ENSMUSG00000068299","6","85899051","85904884"
"1700019G24RIK","","ENSMUSG00000085416","6","5963909","5977393"
"1700019L03RIK","227736","ENSMUSG00000038987","2","32777381","32784428"
"1700019M22RIK","","ENSMUSG00000059695","12","96046767","96047120"
"1700019N19RIK","67507","ENSMUSG00000026931","19","58785803","58794461"
"1700019O17RIK","71863","ENSMUSG00000036574","1","86426329","86428052"
"1700020A23RIK","75656","ENSMUSG00000027409","2","130405259","130406074"
"1700020D05RIK","75555","ENSMUSG00000100937","19","5502767","5503787"
"1700020G17RIK","","ENSMUSG00000101801","10","110784585","110896550"
"1700020I14RIK","","ENSMUSG00000085438","2","119594297","119607502"
"1700020L24RIK","66330","ENSMUSG00000035085","11","83437677","83441233"
"1700020M21RIK","","ENSMUSG00000100146","9","120913774","120915252"
"1700020N01RIK","","ENSMUSG00000050844","10","21593145","21622376"
"1700020N15RIK","75509","ENSMUSG00000059690","X","69945300","69945978"
"1700020N18RIK","","ENSMUSG00000100253","1","91404879","91406029"
"1700021F05RIK","67851","ENSMUSG00000019797","10","43525121","43540994"
"1700021F07RIK","72221","ENSMUSG00000027518","2","173522586","173528501"
"1700021K19RIK","100502698","ENSMUSG00000035629","16","32821703","32877766"
"1700021N21RIK","","ENSMUSG00000087343","4","134448766","134450171"
"1700022A21RIK","","ENSMUSG00000038165","5","24645453","24648860"
"1700022A22RIK","","ENSMUSG00000099751","15","46324559","46373907"
"1700022E09RIK","","ENSMUSG00000099983","16","59462909","59469238"
"1700022H16RIK","","ENSMUSG00000099360","12","9565236","9570585"
"1700022I11RIK","67317","ENSMUSG00000028451","4","42969604","42983640"
"1700023C21RIK","","ENSMUSG00000087393","11","109845878","109848476"
"1700023F02RIK","","ENSMUSG00000100000","10","66120605","66254223"
"1700023F06RIK","69441","ENSMUSG00000020940","11","103198944","103208558"
"1700024B18RIK","","ENSMUSG00000099994","14","123987635","124015684"
"1700024G13RIK","67085","ENSMUSG00000072473","14","32376502","32388373"
"1700024P04RIK","69382","ENSMUSG00000045022","13","98984085","98984565"
"1700024P16RIK","242594","ENSMUSG00000078612","4","104913456","105016863"
"1700025B11RIK","","ENSMUSG00000101113","15","77558239","77561892"
"1700025C18RIK","","ENSMUSG00000078935","2","165078693","165090750"
"1700025F22RIK","69416","ENSMUSG00000024728","19","11139664","11165320"
"1700025F24RIK","","ENSMUSG00000100558","10","119413444","119426864"
"1700025G04RIK","69399","ENSMUSG00000032666","1","151852403","152090125"
"1700025K24RIK","","ENSMUSG00000099747","17","54352583","54370074"
"1700025M24RIK","","ENSMUSG00000100175","5","73268581","73284187"
"1700025N23RIK","","ENSMUSG00000100121","6","39063878","39067598"
"1700026D08RIK","75556","ENSMUSG00000011154","7","83774101","83794880"
"1700026D11RIK","","ENSMUSG00000086379","2","132490634","132524057"
"1700026F02RIK","","ENSMUSG00000101854","8","71006727","71026755"
"1700026J14RIK","","ENSMUSG00000097716","6","48536582","48537474"
"1700026L06RIK","69987","ENSMUSG00000026809","2","28692080","28699727"
"1700027A15RIK","","ENSMUSG00000101968","1","72984844","73025507"
"1700027F09RIK","","ENSMUSG00000100911","5","64454813","64467943"
"1700027H10RIK","","ENSMUSG00000100799","3","45416584","45439310"
"1700027I24RIK","","ENSMUSG00000098304","9","36668856","36693189"
"1700028B04RIK","","ENSMUSG00000099417","7","28492550","28497713"
"1700028D13RIK","","ENSMUSG00000101683","5","112206763","112210004"
"1700028E10RIK","","ENSMUSG00000097321","5","151368675","151432118"
"1700028I16RIK","","ENSMUSG00000056821","10","82812123","82824242"
"1700028J19RIK","","ENSMUSG00000038782","7","44229930","44236122"
"1700028K03RIK","76421","ENSMUSG00000089798","5","107534709","107551542"
"1700028M03RIK","","ENSMUSG00000101334","3","83555363","83574122"
"1700028P14RIK","67483","ENSMUSG00000033053","19","23558760","23652812"
"1700028P15RIK","","ENSMUSG00000086823","2","171956879","171962824"
"1700029B22RIK","","ENSMUSG00000100759","7","131146439","131150580"
"1700029F12RIK","66479","ENSMUSG00000052075","13","97021864","97034362"
"1700029H14RIK","66501","ENSMUSG00000031452","8","13550733","13562461"
"1700029I15RIK","75641","ENSMUSG00000044916","2","92382538","92385708"
"1700029J03RIK","","ENSMUSG00000099968","16","93391677","93458872"
"1700029J07RIK","69479","ENSMUSG00000071103","8","45953606","45975252"
"1700029M20RIK","","ENSMUSG00000086788","4","135626655","135630198"
"1700029N11RIK","","ENSMUSG00000098144","13","44439712","44457569"
"1700029P11RIK","66346","ENSMUSG00000061633","15","81980540","81981563"
"1700030A11RIK","","ENSMUSG00000085333","17","28905265","28906771"
"1700030C10RIK","","ENSMUSG00000091071;ENSMUSG00000099759","12","20804381;20814257","20815727;20815779"
"1700030F04RIK","","ENSMUSG00000099869","6","117646693","117751769"
"1700030J22RIK","69528","ENSMUSG00000031847","8","116969599","116978943"
"1700030K09RIK","72254","ENSMUSG00000052794","8","72443880","72461001"
"1700030L20RIK","","ENSMUSG00000099508","3","136435270","136449349"
"1700030M09RIK","","ENSMUSG00000097424","8","121544382","121548342"
"1700030N03RIK","","ENSMUSG00000100969","19","3065711","3197714"
"1700030O20RIK","","ENSMUSG00000100198","10","116723067","116729177"
"1700031A10RIK","","ENSMUSG00000092239","17","36923792","36933432"
"1700031F05RIK","73300","ENSMUSG00000032894","X","102859186","102867971"
"1700031M16RIK","","ENSMUSG00000099353","15","98398419","98416268"
"1700031P21RIK","","ENSMUSG00000100315","12","52599981","52602322"
"1700034E13RIK","78414","ENSMUSG00000024532","18","52646209","52663733"
"1700034G24RIK","","ENSMUSG00000097962","5","112582936","112589996"
"1700034H15RIK","","ENSMUSG00000055833","1","191886130","191907527"
"1700034I23RIK","","ENSMUSG00000074619","3","40900196","40902543"
"1700034J05RIK","73344","ENSMUSG00000040163","6","146950329","146954422"
"1700034K08RIK","","ENSMUSG00000100294","9","92979914","93005739"
"1700034O15RIK","76606","ENSMUSG00000029867","6","41684431","41685717"
"1700034P13RIK","","ENSMUSG00000097893","1","9747648","9791922"
"1700036G14RIK","","ENSMUSG00000099995","3","85317519","85332030"
"1700037C18RIK","73261","ENSMUSG00000005983","16","3895179","3908689"
"1700037H04RIK","67326","ENSMUSG00000027327","2","131146324","131160081"
"1700039E15RIK","76713","ENSMUSG00000070568","7","45277513","45288998"
"1700039E22RIK","","ENSMUSG00000092369","19","44828493","44835938"
"1700040L02RIK","73287","ENSMUSG00000019945","10","68430953","68541896"
"1700041C23RIK","","ENSMUSG00000100282","9","57175275","57186108"
"1700041M19RIK","","ENSMUSG00000100857","16","77004228","77010881"
"1700042G07RIK","67323","ENSMUSG00000078593","4","116173372","116174290"
"1700042G15RIK","","ENSMUSG00000087044","4","57360868","57364292"
"1700042O10RIK","","ENSMUSG00000086391","11","11868123","11885321"
"1700044C05RIK","","ENSMUSG00000099911","14","118365878","118398170"
"1700044K03RIK","","ENSMUSG00000100297","18","49523289","49524440"
"1700045H11RIK","","ENSMUSG00000078492","4","150828225","150854949"
"1700046C09RIK","","ENSMUSG00000085561","11","14560355","14599225"
"1700047A11RIK","","ENSMUSG00000085437","8","26082609","26102694"
"1700047G03RIK","","ENSMUSG00000099349","15","11964276","11970083"
"1700047I17RIK2","100101807","ENSMUSG00000094103","12","55199533","55214076"
"1700047L14RIK","","ENSMUSG00000101762","5","108763842","108768914"
"1700047M11RIK","","ENSMUSG00000100147","1","182287990","182303325"
"1700048M11RIK","","ENSMUSG00000085637","16","92308716","92312468"
"1700048O20RIK","","ENSMUSG00000043773","9","121938135","121947014"
"1700049E15RIK","","ENSMUSG00000085077","6","147690241","147702374"
"1700049E22RIK","","ENSMUSG00000101553","6","100527400","100533426"
"1700049G17RIK","73430","ENSMUSG00000070709","7","27907392","27929460"
"1700049L16RIK","","ENSMUSG00000043859","10","71979890","71980694"
"1700051A21RIK","","ENSMUSG00000086951","11","72266421","72268575"
"1700052I22RIK","","ENSMUSG00000101912","12","80923432","80924449"
"1700052K11RIK","","ENSMUSG00000099681","11","105177726","105181433"
"1700054A03RIK","","ENSMUSG00000099988","19","53076218","53084392"
"1700054K19RIK","","ENSMUSG00000100219","6","112210708","112212519"
"1700054M17RIK","","ENSMUSG00000085889","2","118304914","118308166"
"1700055C04RIK","","ENSMUSG00000093616","9","64038465","64041465"
"1700056E22RIK","73363","ENSMUSG00000044854","1","184033030","184034301"
"1700057G04RIK","78459","ENSMUSG00000074139","9","92309377","92357876"
"1700057H15RIK","","ENSMUSG00000084757","4","124414416","124485959"
"1700057H21RIK","","ENSMUSG00000086007","2","51420984","51438785"
"1700060C16RIK","","ENSMUSG00000086887","6","143593353","143651288"
"1700060C20RIK","","ENSMUSG00000078957","2","158192008","158195749"
"1700061F12RIK","","ENSMUSG00000085580","2","9189515","9197477"
"1700061G19RIK","78625","ENSMUSG00000024209","17","56875477","56888904"
"1700061I17RIK","","ENSMUSG00000028009","3","117060522","117077765"
"1700061J23RIK","","ENSMUSG00000086366","11","23152140","23166375"
"1700063A18RIK","","ENSMUSG00000100062","1","95990659","96021758"
"1700063D05RIK","","ENSMUSG00000100837","9","41206137","41217627"
"1700063O14RIK","","ENSMUSG00000101978","5","91766242","91767300"
"1700064J06RIK","","ENSMUSG00000100681","10","119092905","119103107"
"1700064M15RIK","","ENSMUSG00000100211","12","99626053","99627974"
"1700065D16RIK","","ENSMUSG00000096655","9","95855418","95858322"
"1700065I16RIK","","ENSMUSG00000099435","15","63817188","63821393"
"1700065J11RIK","","ENSMUSG00000107341","6","35330846","35336825"
"1700065J18RIK","","ENSMUSG00000100872","1","192841661","192842740"
"1700065O20RIK","","ENSMUSG00000100134","18","49803326","49817958"
"1700066B17RIK","","ENSMUSG00000101634","1","39839175","39847334"
"1700066B19RIK","73449","ENSMUSG00000073598","18","35703225","35730869"
"1700066J03RIK","","ENSMUSG00000097717","13","58148777","58149692"
"1700066M21RIK","73467","ENSMUSG00000038323","1","57377620","57385423"
"1700066N21RIK","","ENSMUSG00000099605","5","87908579","87979351"
"1700066O22RIK","","ENSMUSG00000085800","18","57504422","57533752"
"1700067G17RIK","","ENSMUSG00000099378","1","89016113","89022210"
"1700067K01RIK","73453","ENSMUSG00000046408","8","84001502","84004770"
"1700067P10RIK","68224","ENSMUSG00000021545","17","48089632","48090920"
"1700069L16RIK","","ENSMUSG00000042184","5","113692422","113724772"
"1700071K01RIK","","ENSMUSG00000080980","11","81572655","81573473"
"1700071M16RIK","","ENSMUSG00000090307","17","43588340","43592442"
"1700072B07RIK","","ENSMUSG00000100487","9","58370504","58374183"
"1700073E17RIK","","ENSMUSG00000087204","6","145387596","145402179"
"1700074H08RIK","","ENSMUSG00000099872","13","119680040","119681588"
"1700074P13RIK","73481","ENSMUSG00000029883","6","40920437","40940557"
"1700080E11RIK","73532","ENSMUSG00000032566","9","105143342","105145092"
"1700080N15RIK","","ENSMUSG00000084859","2","4132063","4141141"
"1700080O16RIK","74279","ENSMUSG00000031118","X","51968695","51972772"
"1700081H04RIK","","ENSMUSG00000100573","5","119108234","119114543"
"1700084C01RIK","78465","ENSMUSG00000070532","1","169928648","169934653"
"1700084E18RIK","","ENSMUSG00000100747","2","30236795","30238223"
"1700084F23RIK","","ENSMUSG00000099639","13","70004050","70028348"
"1700084J12RIK","","ENSMUSG00000058101","15","33403985","33405976"
"1700084M14RIK","","ENSMUSG00000057805","X","91575210","91575911"
"1700085C21RIK","","ENSMUSG00000100890","12","82932520","82939155"
"1700086L19RIK","","ENSMUSG00000071265","12","74284281","74295945"
"1700086O06RIK","","ENSMUSG00000097080","18","38238405","38250565"
"1700088E04RIK","27660","ENSMUSG00000033029","15","79129349","79141253"
"1700091H14RIK","","ENSMUSG00000090462","14","42089750","42095277"
"1700092C02RIK","","ENSMUSG00000086781","8","77624172","77628957"
"1700092C10RIK","","ENSMUSG00000092499","14","69164797","69171857"
"1700092E19RIK","","ENSMUSG00000084811","13","26284151","26312406"
"1700092K14RIK","","ENSMUSG00000078600","11","114198258","114199199"
"1700092M07RIK","74307","ENSMUSG00000090840","19","8740718","8741225"
"1700093K21RIK","67358","ENSMUSG00000020286","11","23516203","23521155"
"1700094J05RIK","","ENSMUSG00000101695","10","76389015","76401507"
"1700095A21RIK","","ENSMUSG00000086046","4","146519039","146546873"
"1700095B10RIK","","ENSMUSG00000098230","5","112793292","112801701"
"1700095J12RIK","","ENSMUSG00000084804","4","138137595","138138518"
"1700096J18RIK","","ENSMUSG00000099630","11","109346839","109353651"
"1700096K18RIK","","ENSMUSG00000101856","5","25530013","25531466"
"1700097N02RIK","","ENSMUSG00000099474","17","30622441","30626905"
"1700099I09RIK","","ENSMUSG00000091906","13","102760255","102761896"
"1700100L14RIK","","ENSMUSG00000101051","13","70573241","70576110"
"1700101E01RIK","329375","ENSMUSG00000079502","2","28926949","29055066"
"1700101I11RIK","","ENSMUSG00000097675","6","129531950","129533817"
"1700101O22RIK","","ENSMUSG00000102096","12","7372039","7380330"
"1700102P08RIK","112418","ENSMUSG00000032611","9","108392805","108410934"
"1700105P06RIK","","ENSMUSG00000099923","19","7382537","7384308"
"1700108F19RIK","","ENSMUSG00000101009","14","76672963","76687169"
"1700108J01RIK","","ENSMUSG00000100585","14","122229905","122233654"
"1700109G14RIK","","ENSMUSG00000101505","14","61292980","61318146"
"1700109G15RIK","","ENSMUSG00000085044","11","84716976","84720432"
"1700109H08RIK","77036","ENSMUSG00000008307","5","3571566","3584356"
"1700109I08RIK","","ENSMUSG00000101261","14","39655663","39685293"
"1700109K24RIK","","ENSMUSG00000097267","15","77084443","77096314"
"1700110C19RIK","","ENSMUSG00000099384","17","10324602","10329307"
"1700110I01RIK","","ENSMUSG00000079407","14","3262340","3305832"
"1700110I07RIK","","ENSMUSG00000100732","7","41048659","41048847"
"1700110K17RIK","","ENSMUSG00000087047","9","40323426","40343564"
"1700111N16RIK","","ENSMUSG00000100511","X","69929259","70143588"
"1700112E06RIK","76633","ENSMUSG00000063458","14","22019712","23056085"
"1700112H15RIK","","ENSMUSG00000101574","1","184527841","184557691"
"1700112J05RIK","","ENSMUSG00000086632","5","77006449","77018863"
"1700112J16RIK","","ENSMUSG00000097527","7","67204082","67222458"
"1700113A16RIK","","ENSMUSG00000096935","3","88171556","88177785"
"1700113H08RIK","76640","ENSMUSG00000047129","10","87058045","87230589"
"1700116B05RIK","","ENSMUSG00000092276","16","50783409","50784091"
"1700119H24RIK","","ENSMUSG00000100593","16","34935854","34939329"
"1700120C14RIK","","ENSMUSG00000100599","15","99251788","99262044"
"1700120E14RIK","","ENSMUSG00000086333","18","74525140","74531124"
"1700120G07RIK","","ENSMUSG00000100717","7","135191764","135196002"
"1700120K04RIK","","ENSMUSG00000099579","7","127603900","127604445"
"1700121L16RIK","","ENSMUSG00000100364","X","104816776","104842455"
"1700121N20RIK","","ENSMUSG00000092066","12","106442653","106447666"
"1700122O11RIK","76651","ENSMUSG00000094928","17","48036745","48038293"
"1700123I01RIK","622554","ENSMUSG00000024786;ENSMUSG00000106972","19;CHR_MG4249_PATCH","6184388","6224225"
